CODE_GENDER_M,NAME_CONTRACT_TYPE_Cash_loans,EXT_SOURCE_3,NAME_EDUCATION_TYPE_Higher_education,EXT_SOURCE_2,FLAG_OWN_CAR,NAME_EDUCATION_TYPE_Secondary_or_secondary_special
1,1,0.1176137317080569,0,0.7088758643589249,True,1
1,1,0.2353105173615833,0,0.1947838247218324,False,1
1,1,0.3672910183026313,0,0.0339353942643584,True,1
0,1,0.1745642655572634,0,0.1371551951910365,False,1
1,1,0.2608559142068693,0,0.7006131094209461,False,0
1,1,0.3996756156233169,0,0.5210861197360144,True,1
1,1,0.6940926425266661,0,0.0969426305421456,True,1
1,1,0.6195277080511546,0,0.2128763464908079,True,1
0,1,0.4561097392782771,0,0.1498614568591093,False,1
0,1,0.5108529061799658,0,0.105327280046377,False,1
0,1,0.2020866016820394,0,0.7031251939256017,False,1
1,1,0.0584278408863401,0,0.5059222544901524,True,1
1,1,0.2735646775174348,1,0.2324456444194469,False,0
0,1,0.5108529061799658,0,0.209738583921139,False,1
1,1,0.3606125659189888,0,0.0418125959555222,False,1
0,1,0.4135967602644276,0,0.0533629928242056,False,1
0,1,0.221335206354466,0,0.1478417820939769,True,1
0,1,0.0513294138546325,0,0.6518127059593302,True,1
1,1,0.7136313997323308,0,0.0416159151206547,False,1
0,1,0.0316247736225994,0,0.5739955911728436,False,1
1,1,0.3774042489507649,0,0.3337650959400736,False,1
0,1,0.5334816299804352,0,0.2098836013239375,False,1
1,1,0.5513812618027899,0,0.2425906983306537,False,1
1,1,0.5585066276769286,0,0.2469401655307841,True,1
1,1,0.1634256947313434,0,0.1379464133192432,False,1
0,1,0.2512394458905693,0,0.44065549618901,False,1
1,1,0.0734726404118144,1,0.6204759597069982,True,0
0,1,0.0668879339672135,1,0.7505163998369127,False,0
0,1,0.5108529061799658,1,0.1433670110951109,False,0
1,1,0.3572932680336494,0,0.4062253468817851,False,1
1,1,0.5549467685334323,0,0.0679486614959604,True,1
1,0,0.6161216908872079,1,0.0032341739739934,True,0
0,1,0.1245194708919845,0,0.3934746087807166,False,0
1,1,0.1376544619182607,0,0.6105973170847697,False,1
